ts;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;D
1586701730832;249;231;249;255;217;247;244;257;212;227;248;269;205;229;249;262;0
1586701730867;232;227;245;251;207;243;239;250;207;223;245;266;202;229;249;262;35
1586701730903;230;226;245;252;209;245;240;250;206;222;244;266;202;230;250;262;35
1586701730939;230;224;243;250;208;246;241;252;207;222;243;265;202;230;250;263;35
1586701730974;231;225;242;249;207;244;241;253;208;223;244;265;201;229;249;263;35
1586701731010;233;227;244;250;206;243;239;252;208;224;245;266;201;229;249;262;35
1586701731046;231;227;245;252;208;244;239;250;207;223;245;266;202;230;249;262;35
1586701731082;229;225;244;252;209;245;240;251;206;222;244;265;202;230;250;262;35
1586701731117;230;224;242;250;208;245;242;253;207;222;243;264;201;229;250;263;35
1586701731153;232;226;243;249;206;243;240;253;208;224;244;265;201;229;249;262;35
1586701731190;232;227;245;251;207;243;239;251;208;224;245;266;202;229;249;262;35
1586701731227;230;226;245;252;208;244;239;250;207;223;244;266;202;230;249;262;35
1586701731260;229;224;243;251;209;246;241;252;207;222;243;265;202;230;250;263;35
1586701731296;231;224;242;249;207;245;241;253;208;223;244;265;201;229;250;263;35
1586701731332;232;226;244;249;206;243;240;252;208;224;245;265;201;229;249;262;35
1586701731368;232;227;245;251;207;243;239;250;207;223;245;266;202;229;249;262;35
1586701731403;230;225;245;252;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701731439;230;224;243;250;208;245;241;252;207;222;243;265;202;230;250;263;35
1586701731474;232;225;243;249;206;244;241;253;208;223;244;265;201;229;249;262;35
1586701731510;232;227;244;250;206;243;239;251;208;223;245;266;202;229;249;262;35
1586701731546;231;227;245;252;208;244;239;250;207;223;245;266;202;230;249;262;35
1586701731581;229;224;244;252;209;246;240;251;207;222;244;265;202;230;250;262;35
1586701731617;230;224;242;249;208;245;241;253;208;222;243;264;201;229;250;262;35
1586701731653;232;226;243;249;206;243;240;253;208;223;244;265;201;229;249;262;35
1586701731689;232;227;245;251;207;243;239;251;207;223;245;266;202;229;249;262;35
1586701731725;230;226;245;252;208;245;240;251;206;222;244;266;202;230;249;262;35
1586701731760;229;224;243;251;209;246;241;252;207;222;243;265;202;230;250;263;35
1586701731796;231;224;242;249;207;245;241;253;208;223;243;264;201;229;249;263;35
1586701731831;233;227;244;249;206;243;240;252;208;224;245;265;202;229;249;262;35
1586701731867;232;227;245;252;207;243;239;250;207;223;245;266;202;229;249;262;35
1586701731903;229;225;244;252;209;245;240;251;206;222;244;265;202;230;250;262;35
1586701731938;230;224;242;250;208;245;242;253;207;222;243;264;202;230;250;263;35
1586701731974;232;225;243;249;206;244;241;253;208;223;244;264;201;229;249;262;35
1586701732010;232;227;245;250;206;243;239;251;208;224;245;266;202;229;249;262;35
1586701732046;231;226;245;252;208;244;239;250;207;223;245;266;202;230;249;262;35
1586701732082;229;224;244;251;209;246;241;251;207;222;243;265;202;230;250;263;35
1586701732117;230;224;242;249;207;245;241;253;208;223;243;264;201;229;249;262;35
1586701732153;232;226;243;249;206;243;240;252;208;223;245;265;201;229;249;262;35
1586701732188;232;227;245;251;207;243;238;251;207;223;245;266;202;229;249;262;35
1586701732224;230;226;245;252;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701732260;229;224;243;251;209;246;241;252;207;222;243;265;202;230;250;263;35
1586701732295;231;225;242;249;207;244;241;253;208;223;244;264;201;229;250;262;35
1586701732331;233;227;244;249;206;243;239;252;208;223;245;266;201;229;249;262;35
1586701732367;231;227;246;252;208;243;238;250;207;223;245;266;202;230;249;262;35
1586701732403;229;225;244;252;209;245;240;251;207;222;244;265;202;230;250;262;35
1586701732439;230;223;242;249;208;245;241;253;207;222;243;264;202;230;250;262;35
1586701732474;232;225;242;248;206;243;240;253;208;223;244;265;201;229;249;262;35
1586701732510;233;227;245;250;207;243;239;251;208;223;245;266;202;229;249;262;35
1586701732545;231;226;245;252;209;244;239;250;206;222;244;266;202;230;249;262;35
1586701732581;230;224;243;251;209;246;241;251;207;222;243;265;202;230;250;263;35
1586701732617;232;224;242;248;207;245;241;253;208;223;243;264;201;229;250;263;35
1586701732652;234;226;243;248;206;243;240;252;208;224;245;265;201;229;249;262;35
1586701732688;234;227;245;250;207;243;239;251;207;223;245;266;202;229;249;262;35
1586701732724;232;225;244;251;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701732760;232;223;242;249;208;245;241;252;207;222;243;265;202;230;250;263;35
1586701732795;234;224;242;248;207;244;241;253;208;223;244;264;201;229;249;263;35
1586701732831;236;226;243;249;206;243;239;252;208;223;245;266;201;229;249;262;35
1586701732867;234;226;244;251;208;243;239;250;207;223;245;266;202;230;249;262;35
1586701732902;233;224;243;250;209;245;240;251;207;222;243;265;202;230;250;262;35
1586701732938;234;223;241;248;208;245;241;253;208;222;243;264;202;230;250;263;35
1586701732974;236;225;242;248;206;244;240;253;208;223;244;265;201;229;249;262;35
1586701733009;236;226;244;249;207;243;239;251;208;224;245;266;202;229;249;261;35
1586701733045;234;225;244;251;208;244;240;251;206;222;245;266;202;230;250;262;35
1586701733081;233;223;242;250;209;246;241;252;207;222;243;265;202;230;250;262;35
1586701733117;235;223;241;248;207;245;241;253;208;223;244;265;201;229;250;263;35
1586701733152;237;225;242;248;206;243;240;252;208;224;245;265;201;229;249;262;35
1586701733188;236;226;244;250;208;243;239;251;207;223;245;266;202;230;249;262;35
1586701733224;234;224;243;250;209;245;240;250;206;222;244;265;202;230;249;262;35
1586701733259;234;223;241;249;208;245;241;252;207;222;243;264;202;229;250;262;35
1586701733295;236;224;241;247;207;244;241;253;208;223;244;265;201;229;249;262;35
1586701733331;237;226;243;248;207;243;239;252;208;224;245;266;202;229;249;262;35
1586701733367;236;225;244;250;208;243;239;251;207;223;245;266;202;230;249;262;35
1586701733403;234;223;242;250;209;245;240;251;207;222;243;265;202;230;250;262;35
1586701733438;235;223;240;248;208;245;242;253;208;223;243;264;202;229;250;262;35
1586701733474;237;225;242;247;206;243;240;253;208;224;244;265;202;229;249;262;35
1586701733509;237;226;243;249;207;243;239;251;208;223;245;266;202;229;249;262;35
1586701733545;235;225;243;250;209;244;240;250;207;222;244;266;202;230;249;262;35
1586701733581;235;223;241;249;209;245;241;252;207;222;243;265;202;230;250;262;35
1586701733617;236;223;241;247;207;244;241;253;208;223;244;265;201;229;250;262;35
1586701733652;238;225;242;248;207;243;240;252;208;224;245;265;201;229;249;262;35
1586701733688;237;225;244;250;208;244;239;250;207;223;245;266;202;230;249;262;35
1586701733724;235;224;242;250;209;245;240;251;207;222;244;266;202;230;250;262;35
1586701733760;235;223;241;248;208;245;242;253;207;222;243;264;202;229;250;263;35
1586701733795;237;224;241;247;207;244;241;253;208;223;244;265;202;229;249;262;35
1586701733831;238;226;243;248;207;243;239;251;208;224;245;266;201;229;249;262;35
1586701733866;236;225;244;250;208;244;239;251;207;222;244;266;202;230;249;261;35
1586701733902;235;223;242;249;209;246;241;251;207;222;243;265;202;230;250;262;35
1586701733938;236;223;240;247;208;245;241;253;208;223;243;264;201;229;249;262;35
1586701733974;238;225;242;247;206;243;240;252;208;224;244;265;201;229;249;262;35
1586701734009;237;226;243;249;207;243;239;251;207;223;245;266;202;229;249;262;35
1586701734045;236;224;243;250;209;244;240;251;206;222;244;266;203;230;250;262;35
1586701734081;235;222;241;249;209;245;241;252;207;222;243;265;202;230;250;262;35
1586701734116;237;223;241;247;207;244;241;253;208;223;244;264;201;229;249;262;35
1586701734152;238;225;242;248;207;243;239;252;208;224;245;265;201;229;249;262;35
1586701734188;237;225;244;250;208;244;239;251;207;223;245;266;202;230;249;262;35
1586701734224;235;223;242;250;209;245;240;251;206;222;243;265;202;230;250;262;35
1586701734259;236;222;240;248;208;245;241;253;208;222;243;264;201;230;250;263;35
1586701734295;237;224;241;247;207;244;240;253;208;223;244;265;201;229;249;262;35
1586701734331;238;226;243;249;207;243;239;251;208;224;245;266;202;229;249;262;35
1586701734366;236;225;243;250;208;244;239;251;207;222;244;266;202;230;249;262;35
1586701734402;235;223;241;249;209;245;241;251;207;221;243;265;202;230;250;262;35
1586701734438;236;223;240;247;208;245;241;253;208;223;244;264;201;229;250;262;35
1586701734473;238;225;242;248;206;243;240;252;208;224;244;265;202;229;249;262;35
1586701734509;237;226;244;249;207;243;239;251;207;223;245;266;202;229;249;261;35
1586701734545;236;224;243;250;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701734580;235;222;241;248;208;245;241;252;207;222;243;265;202;230;250;262;35
1586701734616;237;223;241;247;207;244;241;253;208;223;244;264;201;229;249;262;35
1586701734652;238;225;242;248;207;243;239;252;208;224;245;265;202;229;249;262;35
1586701734688;237;225;243;250;208;244;239;250;207;223;245;266;202;230;249;261;35
1586701734723;235;223;242;250;209;245;240;251;207;222;243;265;202;230;250;262;35
1586701734759;236;223;240;248;208;245;241;253;207;223;244;264;202;229;250;263;35
1586701734795;238;224;241;247;206;244;240;253;208;224;244;265;201;229;249;262;35
1586701734830;238;226;243;249;207;243;239;251;207;224;245;266;202;229;249;261;35
1586701734866;236;224;243;250;208;244;240;251;207;222;244;266;202;230;249;262;35
1586701734902;235;222;241;249;209;245;241;252;207;222;243;265;202;230;250;263;35
1586701734938;237;223;241;247;207;245;241;253;208;223;244;264;201;229;249;262;35
1586701734973;238;225;242;248;206;243;240;252;208;224;244;265;202;229;249;262;35
1586701735009;238;225;244;249;207;243;239;250;207;223;245;266;202;229;249;261;35
1586701735045;236;224;243;250;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701735080;236;222;241;248;208;245;241;253;207;222;243;264;202;230;250;263;35
1586701735116;238;223;241;247;207;244;241;253;208;223;244;265;201;229;249;262;35
1586701735152;238;225;243;248;207;243;239;252;208;224;245;266;202;229;249;262;35
1586701735187;237;225;243;250;208;244;239;250;207;223;244;266;202;230;249;262;35
1586701735223;235;223;242;249;209;245;241;251;206;222;243;265;202;230;250;262;35
1586701735259;236;223;240;247;208;245;241;253;208;223;243;264;201;229;250;263;35
1586701735295;238;224;241;247;206;243;240;253;208;224;244;265;201;229;249;262;35
1586701735330;238;225;243;249;207;243;239;251;207;223;245;266;202;229;249;262;35
1586701735366;236;224;243;250;209;244;239;251;206;222;244;266;202;230;249;262;35
1586701735402;236;222;241;249;209;245;241;252;207;222;243;265;202;230;250;262;35
1586701735437;237;223;240;247;207;244;241;253;208;223;244;264;201;229;250;263;35
1586701735473;239;225;242;248;206;243;240;252;208;224;245;265;202;229;249;262;35
1586701735509;238;225;243;249;208;243;239;251;207;223;245;266;202;229;249;262;35
1586701735544;236;223;242;250;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701735580;236;222;240;248;208;245;241;253;207;222;243;264;202;229;250;263;35
1586701735616;238;224;241;247;207;244;240;253;208;223;244;265;201;229;249;262;35
1586701735651;239;225;243;248;207;243;239;251;208;224;245;266;201;229;249;262;35
1586701735687;237;225;243;250;208;244;239;250;207;222;244;266;202;230;249;262;35
1586701735723;236;223;242;249;209;246;241;251;207;222;243;265;202;230;250;262;35
1586701735759;237;223;240;247;208;245;241;253;208;223;244;264;201;229;250;262;35
1586701735794;239;224;241;247;206;243;240;252;208;224;245;265;201;229;249;262;35
1586701735830;238;225;243;249;207;243;239;251;207;223;245;266;202;229;249;262;35
1586701735866;236;224;243;250;209;245;240;251;206;222;244;266;203;230;249;262;35
1586701735901;236;222;241;248;208;245;241;252;207;222;243;265;202;230;250;263;35
1586701735937;237;223;240;247;207;244;241;253;208;223;243;264;201;229;249;262;35
1586701735973;239;225;242;248;207;243;239;252;208;224;245;265;201;229;249;262;35
1586701736009;238;225;243;250;208;244;239;251;207;223;245;266;202;229;249;261;35
1586701736044;236;223;242;250;209;245;240;251;207;222;244;265;202;230;250;262;35
1586701736080;236;222;240;248;208;245;241;253;207;222;244;264;201;230;250;262;35
1586701736116;238;224;241;247;207;244;240;253;208;224;244;265;201;229;249;262;35
1586701736151;239;225;243;248;207;243;239;251;208;223;245;266;202;229;249;262;35
1586701736188;237;224;243;250;208;244;240;251;207;223;244;266;203;230;249;262;35
1586701736223;236;222;241;249;209;245;241;252;207;222;243;265;202;230;250;262;35
1586701736259;237;223;240;247;208;245;241;253;208;222;243;264;201;229;249;263;35
1586701736294;239;224;241;247;206;243;240;252;208;224;245;265;201;229;249;262;35
1586701736330;238;225;243;249;207;243;239;251;207;223;245;266;202;229;249;262;35
1586701736366;236;224;243;250;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701736401;236;222;241;248;209;245;241;252;207;222;243;265;202;230;250;263;35
1586701736437;238;223;241;247;207;244;241;253;208;223;244;265;201;229;249;262;35
1586701736473;239;225;242;248;207;243;239;252;208;223;245;265;202;229;248;262;35
1586701736508;238;225;243;250;208;244;239;251;207;223;245;266;202;230;249;262;35
1586701736544;236;223;242;249;209;245;240;251;207;222;243;265;202;230;250;262;35
1586701736580;237;222;240;247;208;245;242;253;207;222;243;264;202;229;250;262;35
1586701736616;239;224;241;247;206;243;240;252;208;224;244;264;201;229;249;262;35
1586701736651;239;225;243;248;207;243;239;251;208;223;245;266;202;229;249;261;35
1586701736687;237;224;243;249;208;244;240;251;206;222;244;266;202;230;250;262;35
1586701736723;236;222;241;249;209;245;241;251;207;222;243;265;202;230;250;262;35
1586701736758;238;223;240;247;207;244;241;253;208;223;244;264;201;229;250;263;35
1586701736794;239;224;242;247;206;243;240;252;208;224;245;265;202;229;249;262;35
1586701736830;238;225;243;249;207;243;239;251;207;223;245;266;202;230;249;262;35
1586701736865;236;224;242;250;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701736901;236;222;240;248;208;245;241;252;207;222;243;264;202;230;250;262;35
1586701736937;238;223;241;247;207;244;241;253;208;223;244;264;201;229;249;262;35
1586701736973;239;225;242;248;207;242;239;251;208;224;245;266;202;229;249;262;35
1586701737009;238;225;243;250;208;243;239;251;207;223;245;266;202;229;249;262;35
1586701737044;236;223;242;249;209;245;240;251;207;222;243;265;202;230;250;262;35
1586701737080;237;222;240;247;208;245;241;253;207;223;243;264;201;229;250;263;35
1586701737115;239;224;241;247;206;243;240;253;208;224;244;265;201;229;249;262;35
1586701737151;239;225;243;248;207;243;239;251;207;223;245;266;202;229;249;261;35
1586701737187;237;224;243;250;209;244;240;251;207;222;244;266;203;229;249;262;35
1586701737222;236;222;241;249;209;246;241;252;207;222;243;265;202;230;250;263;35
1586701737258;238;223;240;247;207;245;241;253;208;223;244;265;201;229;249;262;35
1586701737294;239;225;242;247;207;243;240;252;208;224;245;265;201;229;249;262;35
1586701737330;238;225;243;249;208;244;239;251;207;223;245;266;202;230;249;262;35
1586701737365;236;223;242;250;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701737401;237;222;240;248;208;245;241;252;207;222;243;264;202;230;250;263;35
1586701737437;238;223;241;247;207;244;241;253;208;223;244;264;201;229;249;262;35
1586701737472;239;225;242;248;207;243;239;252;208;224;245;266;202;229;249;261;35
1586701737508;237;225;243;250;208;244;240;251;207;223;244;266;202;230;249;262;35
1586701737544;236;223;241;249;209;245;240;251;207;222;243;265;202;230;250;262;35
1586701737580;237;223;240;247;208;245;241;253;208;223;244;264;201;229;250;263;35
1586701737615;239;224;241;247;206;243;240;252;208;224;244;265;201;229;249;262;35
1586701737651;239;225;243;249;207;243;239;251;207;224;245;266;202;229;249;261;35
1586701737687;237;224;243;250;209;245;240;250;206;222;244;266;202;230;250;262;35
1586701737722;236;222;241;248;209;245;241;252;207;222;243;265;202;230;250;262;35
1586701737758;238;223;240;247;207;244;241;253;208;223;244;264;201;229;250;263;35
1586701737794;239;225;242;248;206;243;239;252;208;224;245;265;202;229;249;262;35
1586701737829;238;225;243;249;208;244;239;251;207;223;245;266;202;230;249;262;35
1586701737865;236;223;242;250;209;245;240;251;206;222;244;265;202;230;250;262;35
1586701737901;236;222;240;248;208;245;241;253;207;222;244;264;202;230;250;262;35
1586701737936;238;224;241;247;207;244;240;253;208;223;244;265;201;229;249;262;35
1586701737972;239;225;243;248;207;243;239;252;208;223;245;266;202;229;249;261;35
1586701738008;237;224;243;250;208;244;239;251;206;222;245;266;202;230;249;262;35
1586701738044;236;223;241;249;209;245;241;252;207;222;243;265;202;230;250;262;35
1586701738079;237;223;240;247;208;245;241;253;208;222;244;264;201;229;250;262;35
1586701738115;237;225;242;248;206;243;240;252;208;224;245;265;201;229;249;262;35
1586701738151;236;226;244;250;207;243;239;250;207;223;245;266;202;229;249;261;35
1586701738186;234;225;243;251;209;245;240;251;206;222;244;266;202;230;250;262;35
1586701738222;233;223;242;250;208;246;241;252;207;222;243;264;202;230;250;262;35
1586701738258;232;224;242;248;207;244;241;253;208;223;244;265;201;229;249;262;35
1586701738294;233;227;244;249;206;243;239;252;208;224;245;265;202;229;249;262;35
1586701738329;232;227;245;252;208;244;239;250;207;223;245;266;202;229;249;262;35
1586701738365;230;225;244;252;209;246;241;251;206;222;244;265;202;230;250;262;35
1586701738401;231;224;242;249;208;245;241;253;208;222;243;264;201;230;250;263;35
1586701738436;233;225;243;249;206;243;240;253;208;224;244;265;201;229;249;262;35
1586701738472;233;227;245;250;207;243;239;251;208;223;245;266;202;229;249;262;35
1586701738508;231;226;245;252;208;244;239;251;207;222;244;266;202;230;249;262;35
1586701738544;230;224;243;251;209;246;241;252;207;222;243;265;202;230;250;262;35
1586701738579;231;224;242;249;207;245;241;253;208;223;244;264;202;229;250;263;35
1586701738615;233;226;243;249;206;243;240;252;208;224;245;265;201;229;249;262;35
1586701738651;232;227;245;251;207;243;239;250;207;223;245;266;202;230;249;262;35
1586701738686;230;225;245;252;209;245;240;251;206;222;244;265;202;230;249;262;35
1586701738722;230;224;242;250;208;245;241;252;207;222;243;264;202;230;250;262;35
1586701738758;232;225;243;248;206;244;241;253;208;223;244;265;201;229;249;262;35
1586701738793;233;227;244;250;206;243;239;251;208;224;245;266;201;229;249;262;35
1586701738829;232;227;245;252;208;244;239;250;207;223;245;266;202;230;249;262;35
1586701738865;230;225;244;251;209;246;240;251;206;222;244;265;202;230;250;262;35
1586701738900;231;224;242;249;208;245;242;253;207;222;243;264;201;230;250;263;35
1586701738936;233;226;243;249;206;243;240;253;208;224;244;264;202;229;249;262;35
1586701738972;233;227;245;250;207;243;239;251;208;224;245;266;202;229;249;261;35
1586701739008;231;226;245;252;209;244;239;250;207;222;244;266;202;230;249;262;35
1586701739043;230;224;243;251;209;246;241;252;207;222;243;265;202;230;250;262;35
1586701739079;231;224;242;249;207;245;241;253;208;223;244;264;201;229;249;262;35
1586701739115;233;226;244;249;206;243;239;252;208;223;245;265;202;229;249;262;35
1586701739150;232;227;245;251;207;244;238;250;207;223;245;266;202;229;249;261;35
1586701739187;230;226;245;252;209;247;240;250;207;222;244;266;202;230;250;262;35
1586701739222;231;224;243;250;208;247;241;252;207;222;243;265;202;230;250;263;35
1586701739257;232;225;243;249;206;246;240;252;208;223;244;265;201;229;249;262;35
1586701739293;233;227;244;250;206;246;238;251;208;223;245;266;202;229;249;262;35
1586701739329;232;226;245;252;208;247;239;249;207;223;245;266;202;229;249;262;35
1586701739365;230;225;244;251;208;249;240;250;207;222;244;265;202;230;250;262;35
1586701739400;231;225;243;250;207;249;241;252;207;223;244;265;201;229;250;262;35
1586701739436;232;226;244;250;205;247;239;251;208;224;244;265;202;229;249;262;35
1586701739472;232;227;245;251;206;247;238;249;208;223;245;266;202;229;249;262;35
1586701739508;231;226;245;252;208;249;239;249;207;222;244;266;202;230;250;262;35
1586701739543;230;225;244;251;208;250;240;251;207;222;244;265;202;230;250;263;35
1586701739579;231;225;243;250;206;249;240;252;208;223;244;265;201;229;249;263;35
1586701739615;232;226;244;250;206;247;239;251;208;223;245;265;202;229;249;262;35
1586701739650;232;227;245;251;207;248;238;249;207;223;245;266;202;229;249;262;35
1586701739686;231;225;245;252;208;250;239;250;207;222;244;266;202;230;250;262;35
1586701739722;231;225;243;250;207;250;240;251;207;223;244;265;202;230;250;263;35
1586701739757;232;225;243;250;206;248;240;251;208;223;244;265;201;229;249;263;35
1586701739793;232;227;244;250;206;248;238;250;208;224;245;266;202;229;249;262;35
1586701739829;231;226;245;252;207;248;239;249;207;223;245;266;202;230;249;262;35
1586701739865;230;225;244;251;208;250;239;250;207;222;244;265;202;230;250;262;35
1586701739900;231;225;243;250;206;249;240;252;207;223;244;265;201;229;250;263;35
1586701739936;232;226;244;250;205;248;239;251;208;223;244;265;201;229;249;262;35
1586701739972;232;227;245;251;206;248;238;249;208;223;245;266;202;229;249;261;35
1586701740008;231;226;245;252;208;249;239;249;207;222;244;266;202;229;250;262;35
1586701740043;231;225;244;251;207;250;240;251;207;223;244;265;202;230;250;263;35
1586701740079;232;225;243;250;206;249;240;251;208;223;244;265;201;229;250;262;35
1586701740115;232;226;244;250;205;248;239;250;208;223;245;266;202;229;249;262;35
1586701740150;232;227;245;251;207;248;238;249;207;223;245;266;202;230;249;261;35
1586701740186;231;225;244;251;208;250;239;250;207;222;244;265;202;230;250;262;35
1586701740222;231;225;243;250;207;250;241;251;207;222;243;265;201;230;250;262;35
1586701740257;232;225;243;250;205;248;239;251;208;223;244;265;201;229;249;262;35
1586701740293;232;227;244;250;206;248;238;250;208;224;245;266;202;229;249;262;35
1586701740329;231;226;245;251;207;249;239;249;207;223;245;266;202;230;249;262;35
1586701740365;230;225;244;251;208;250;240;250;207;222;243;265;202;230;250;262;35
1586701740400;231;225;243;250;206;249;240;252;208;223;244;265;201;229;250;263;35
1586701740436;232;226;244;250;205;248;239;251;208;224;245;265;201;229;249;262;35
1586701740471;232;226;245;251;206;248;238;249;208;223;244;266;202;229;249;261;35
1586701740507;231;226;245;252;208;249;239;249;207;222;244;266;202;230;249;262;35
1586701740543;231;225;243;250;207;250;240;251;207;222;244;265;202;230;250;263;35
1586701740579;232;225;243;250;206;249;240;252;208;223;244;265;201;229;249;263;35
1586701740614;232;226;244;250;205;248;238;250;208;224;245;265;202;229;249;262;35
1586701740650;232;226;245;251;207;248;238;249;207;223;244;266;202;229;249;262;35
1586701740686;231;225;244;251;208;250;239;250;207;222;244;266;202;230;249;262;35
1586701740721;231;225;243;250;207;250;240;251;208;222;244;265;202;230;250;262;35
1586701740757;232;226;243;250;206;248;239;251;208;224;244;265;201;229;249;262;35
1586701740793;232;227;245;251;206;248;238;250;208;224;245;266;202;229;249;262;35
1586701740828;231;226;245;252;207;249;239;249;207;223;245;266;202;230;250;262;35
1586701740864;230;225;244;251;208;250;240;250;207;222;244;265;202;230;250;263;35
1586701740900;231;225;243;250;206;249;240;252;208;222;244;265;201;229;250;262;35
1586701740936;232;226;244;250;205;248;239;251;208;223;244;265;201;229;249;262;35
1586701740971;232;227;245;251;206;248;238;249;207;223;245;266;202;229;249;262;35
1586701741008;231;226;244;252;208;250;239;249;207;222;244;266;203;230;250;262;35
1586701741043;231;225;243;250;207;250;240;251;207;222;244;265;202;230;250;263;35
1586701741078;232;225;243;250;206;249;240;251;208;223;244;264;201;229;250;262;35
1586701741114;232;227;244;250;206;248;238;250;208;224;244;265;202;229;249;262;35
1586701741150;232;226;245;251;207;249;238;249;207;223;245;266;202;230;249;262;35
1586701741185;230;225;244;251;208;250;240;250;207;222;244;266;202;230;250;262;35
1586701741221;231;225;243;250;207;250;240;252;208;222;244;265;201;229;250;263;35
1586701741257;232;226;244;249;205;248;239;251;208;223;244;265;201;229;249;262;35
1586701741293;232;227;244;250;206;248;238;249;208;224;245;266;202;229;249;262;35
1586701741328;231;226;245;251;207;249;239;249;207;223;244;266;202;230;250;262;35
1586701741364;230;225;244;251;207;250;240;250;207;223;244;265;202;230;250;262;35
1586701741400;231;225;243;249;206;249;240;252;208;223;244;265;201;229;250;263;35
1586701741435;232;226;244;250;205;248;239;250;208;224;244;265;202;229;249;262;35
1586701741471;232;227;245;251;207;248;238;249;207;223;245;266;202;229;249;262;35
1586701741507;231;226;244;251;208;250;239;250;207;223;244;266;202;230;250;262;35
1586701741543;231;225;243;250;207;250;240;251;208;222;244;265;202;229;250;262;35
1586701741578;232;225;243;250;205;249;240;251;208;223;244;265;201;229;250;262;35
1586701741614;232;227;244;250;206;248;238;250;208;223;245;266;202;229;249;262;35
1586701741650;231;226;245;251;207;249;238;249;207;223;245;266;202;230;249;262;35
1586701741685;230;225;244;251;208;251;240;250;207;223;244;265;202;230;250;263;35
1586701741721;231;225;243;250;207;250;240;252;208;223;244;265;201;229;250;263;35
1586701741756;232;226;244;250;205;248;239;251;208;224;244;265;201;229;249;262;35
1586701741793;232;227;245;251;206;248;238;249;208;223;245;266;202;230;249;262;35
1586701741828;231;226;245;251;207;250;239;249;207;223;244;266;202;230;250;262;35
1586701741864;230;225;244;251;207;251;240;251;207;223;244;265;202;230;250;263;35
1586701741899;231;225;243;250;206;250;240;251;208;223;244;265;201;229;250;263;35
1586701741935;232;226;244;250;205;248;238;250;208;224;245;265;202;229;249;262;35
1586701741971;232;226;245;251;207;249;238;249;207;223;245;266;202;229;249;262;35
1586701742007;231;225;244;251;208;250;239;250;207;222;244;266;202;230;250;262;35
1586701742042;231;225;243;250;207;251;240;251;207;223;244;265;202;230;250;263;35
1586701742078;232;225;243;250;205;249;239;251;208;223;244;265;201;229;249;262;35
1586701742114;232;227;245;250;206;248;238;250;208;224;245;266;202;229;249;262;35
1586701742149;231;226;245;251;207;249;238;249;207;223;244;266;202;229;249;262;35
1586701742185;231;225;244;251;208;251;240;250;207;222;244;265;202;229;250;263;35
1586701742221;231;225;243;250;206;250;240;252;208;223;244;265;201;230;250;263;35
